sample_id,play_id,game_id,week,posteam,defteam,down,play_type,shotgun,formation,formation_playtype,yards_gained,epa,success
sample_01,3314,2022_02_NE_PIT,2,NE,PIT,1.0,pass,0,under_center,under_center_pass,6.0,0.2572354238945991,1.0
sample_01,2833,2022_13_NO_TB,13,NO,TB,2.0,pass,0,under_center,under_center_pass,6.0,0.2839509327895939,1.0
sample_01,359,2022_16_NYG_MIN,16,MIN,NYG,2.0,pass,0,under_center,under_center_pass,8.0,0.9334056628867984,1.0
sample_01,2878,2022_13_BUF_NE,13,BUF,NE,1.0,pass,0,under_center,under_center_pass,8.0,0.6091500461334363,1.0
sample_01,2262,2022_08_TEN_HOU,8,HOU,TEN,2.0,pass,0,under_center,under_center_pass,5.0,-0.2756548929028213,0.0
sample_01,354,2022_09_BAL_NO,9,NO,BAL,1.0,pass,0,under_center,under_center_pass,7.0,0.5391689892858267,1.0
sample_01,218,2022_02_NYJ_CLE,2,CLE,NYJ,1.0,pass,0,under_center,under_center_pass,8.0,0.49926383420825,1.0
sample_01,2230,2022_14_MIN_DET,14,MIN,DET,1.0,pass,0,under_center,under_center_pass,4.0,-0.04614585544914,0.0
sample_01,785,2022_15_NE_LV,15,NE,LV,1.0,run,0,under_center,under_center_run,14.0,0.8954980443231761,1.0
sample_01,230,2022_09_CAR_CIN,9,CIN,CAR,1.0,run,0,under_center,under_center_run,9.0,0.5321168274385855,1.0
sample_01,1404,2022_07_IND_TEN,7,TEN,IND,1.0,run,0,under_center,under_center_run,23.0,1.440078251180239,1.0
sample_01,3528,2022_03_ATL_SEA,3,SEA,ATL,1.0,run,0,under_center,under_center_run,6.0,0.4456174683873541,1.0
sample_01,705,2022_16_NYG_MIN,16,MIN,NYG,1.0,run,0,under_center,under_center_run,6.0,0.2025408417684957,1.0
sample_01,552,2022_10_DAL_GB,10,GB,DAL,2.0,run,0,under_center,under_center_run,17.0,1.024797153659165,1.0
sample_01,2361,2022_10_DET_CHI,10,CHI,DET,1.0,run,0,under_center,under_center_run,9.0,0.8271909069735557,1.0
sample_01,3438,2022_10_ARI_LA,10,ARI,LA,1.0,run,1,shotgun,shotgun_run,6.0,0.1149803592124953,1.0
sample_01,228,2022_18_BAL_CIN,18,CIN,BAL,3.0,run,1,shotgun,shotgun_run,3.0,0.5025285759475082,1.0
sample_01,4682,2022_05_IND_DEN,5,DEN,IND,2.0,run,1,shotgun,shotgun_run,5.0,0.2460027341148816,1.0
sample_01,1440,2022_09_TEN_KC,9,TEN,KC,1.0,run,1,shotgun,shotgun_run,3.0,-0.2502210899838246,0.0
sample_01,3398,2022_02_NE_PIT,2,PIT,NE,1.0,run,1,shotgun,shotgun_run,5.0,0.0290323661174625,1.0
sample_01,2178,2022_12_BAL_JAX,12,BAL,JAX,2.0,run,1,shotgun,shotgun_run,3.0,-0.4513314553187229,0.0
sample_01,3254,2022_11_TEN_GB,11,GB,TEN,2.0,run,1,shotgun,shotgun_run,4.0,-0.0048119546845555,0.0
sample_01,2979,2022_07_IND_TEN,7,IND,TEN,1.0,pass,1,shotgun,shotgun_pass,-4.0,-1.306224943837151,0.0
sample_01,331,2022_15_MIA_BUF,15,BUF,MIA,3.0,pass,1,shotgun,shotgun_pass,0.0,-1.3592012976296246,0.0
sample_01,2717,2022_02_CAR_NYG,2,NYG,CAR,3.0,pass,1,shotgun,shotgun_pass,-5.0,-1.6717254819814116,0.0
sample_01,2907,2022_19_NYG_MIN,19,NYG,MIN,1.0,pass,1,shotgun,shotgun_pass,0.0,-0.6054505235515535,0.0
sample_01,876,2022_13_WAS_NYG,13,NYG,WAS,3.0,pass,1,shotgun,shotgun_pass,-1.0,-1.667611909511747,0.0
sample_01,2059,2022_14_KC_DEN,14,DEN,KC,1.0,pass,1,shotgun,shotgun_pass,0.0,-0.3073538350872695,0.0
sample_01,3857,2022_09_GB_DET,9,GB,DET,4.0,pass,1,shotgun,shotgun_pass,0.0,-2.539825535204727,0.0
sample_01,389,2022_18_BAL_CIN,18,CIN,BAL,1.0,pass,1,shotgun,shotgun_pass,0.0,-0.4979485594667494,0.0
