sample_id,play_id,game_id,week,posteam,defteam,down,play_type,shotgun,formation,formation_playtype,yards_gained,epa,success
sample_03,1389,2022_11_LV_DEN,11,LV,DEN,1.0,pass,0,under_center,under_center_pass,31.0,3.2562441182672046,1.0
sample_03,829,2022_09_MIN_WAS,9,WAS,MIN,1.0,pass,0,under_center,under_center_pass,18.0,1.2603080570697784,1.0
sample_03,3696,2022_01_NO_ATL,1,NO,ATL,,run,0,under_center,under_center_run,0.0,-0.947,0.0
sample_03,856,2022_02_TEN_BUF,2,BUF,TEN,1.0,run,0,under_center,under_center_run,0.0,-0.5256723238853738,0.0
sample_03,1445,2022_17_ARI_ATL,17,ATL,ARI,1.0,run,0,under_center,under_center_run,-2.0,-1.0353744605672546,0.0
sample_03,4036,2022_03_DET_MIN,3,DET,MIN,2.0,run,0,under_center,under_center_run,0.0,-0.5428386558778584,0.0
sample_03,2852,2022_22_KC_PHI,22,PHI,KC,3.0,run,0,under_center,under_center_run,0.0,-1.2225467368261889,0.0
sample_03,2800,2022_13_MIA_SF,13,SF,MIA,1.0,run,0,under_center,under_center_run,-4.0,-1.2192740314640105,0.0
sample_03,1440,2022_05_ATL_TB,5,TB,ATL,1.0,run,0,under_center,under_center_run,0.0,-0.4276273213326931,0.0
sample_03,2772,2022_09_SEA_ARI,9,SEA,ARI,2.0,run,0,under_center,under_center_run,0.0,-0.5005048720049672,0.0
sample_03,3492,2022_09_CAR_CIN,9,CIN,CAR,2.0,run,0,under_center,under_center_run,0.0,-0.6960013242787682,0.0
sample_03,441,2022_13_GB_CHI,13,GB,CHI,2.0,run,0,under_center,under_center_run,-7.0,-1.837341434555128,0.0
sample_03,172,2022_11_PHI_IND,11,IND,PHI,2.0,run,0,under_center,under_center_run,0.0,-0.4643358057364821,0.0
sample_03,2069,2022_01_NO_ATL,1,NO,ATL,2.0,run,1,shotgun,shotgun_run,1.0,-0.6784926131367683,0.0
sample_03,3014,2022_12_NYG_DAL,12,NYG,DAL,1.0,run,1,shotgun,shotgun_run,0.0,-0.557149825617671,0.0
sample_03,797,2022_05_SF_CAR,5,SF,CAR,3.0,pass,1,shotgun,shotgun_pass,30.0,2.9113798775943,1.0
sample_03,3250,2022_08_CAR_ATL,8,CAR,ATL,3.0,pass,1,shotgun,shotgun_pass,21.0,2.992410058272071,1.0
sample_03,2246,2022_08_NYG_SEA,8,NYG,SEA,3.0,pass,1,shotgun,shotgun_pass,18.0,3.009301937650889,1.0
sample_03,1476,2022_05_PIT_BUF,5,BUF,PIT,1.0,pass,1,shotgun,shotgun_pass,15.0,2.1460986976744607,1.0
sample_03,3367,2022_18_CLE_PIT,18,PIT,CLE,3.0,pass,1,shotgun,shotgun_pass,27.0,2.9644876566017047,1.0
sample_03,3274,2022_16_WAS_SF,16,WAS,SF,1.0,pass,1,shotgun,shotgun_pass,21.0,1.4919604954775425,1.0
sample_03,3731,2022_04_MIN_NO,4,NO,MIN,1.0,pass,1,shotgun,shotgun_pass,16.0,1.2099883833434433,1.0
sample_03,2639,2022_01_SF_CHI,1,CHI,SF,3.0,pass,1,shotgun,shotgun_pass,51.0,5.442163281142712,1.0
sample_03,633,2022_04_WAS_DAL,4,DAL,WAS,1.0,pass,1,shotgun,shotgun_pass,23.0,1.5968872003722936,1.0
sample_03,1790,2022_01_LV_LAC,1,LV,LAC,1.0,pass,1,shotgun,shotgun_pass,41.0,2.8934828811325133,1.0
sample_03,257,2022_21_CIN_KC,21,KC,CIN,2.0,pass,1,shotgun,shotgun_pass,16.0,1.5196974324062469,1.0
sample_03,1527,2022_06_BAL_NYG,6,BAL,NYG,2.0,pass,1,shotgun,shotgun_pass,16.0,1.6232447003712878,1.0
sample_03,1817,2022_20_CIN_BUF,20,BUF,CIN,1.0,pass,1,shotgun,shotgun_pass,25.0,1.4840557095594704,1.0
sample_03,2199,2022_16_GB_MIA,16,GB,MIA,1.0,pass,1,shotgun,shotgun_pass,31.0,2.073964736307971,1.0
sample_03,2970,2022_16_TB_ARI,16,ARI,TB,2.0,pass,1,shotgun,shotgun_pass,47.0,3.5046856733970344,1.0
