sample_id,play_id,game_id,week,posteam,defteam,down,play_type,shotgun,formation,formation_playtype,yards_gained,epa,success
sample_02,1453,2022_11_KC_LAC,11,LAC,KC,2.0,pass,0,under_center,under_center_pass,20.0,1.5953262133989483,1.0
sample_02,2419,2022_03_HOU_CHI,3,CHI,HOU,1.0,pass,0,under_center,under_center_pass,20.0,1.4972293876344338,1.0
sample_02,2726,2022_07_NYG_JAX,7,NYG,JAX,2.0,run,0,under_center,under_center_run,0.0,-0.8196568780113012,0.0
sample_02,1241,2022_08_MIA_DET,8,MIA,DET,1.0,run,0,under_center,under_center_run,-1.0,-0.9346101513365284,0.0
sample_02,577,2022_06_NYJ_GB,6,GB,NYJ,2.0,run,0,under_center,under_center_run,-2.0,-1.1873470558784902,0.0
sample_02,3617,2022_13_PIT_ATL,13,PIT,ATL,2.0,run,0,under_center,under_center_run,0.0,-1.7944685620022938,0.0
sample_02,793,2022_17_SF_LV,17,SF,LV,1.0,run,0,under_center,under_center_run,-2.0,-1.04891296941787,0.0
sample_02,1422,2022_15_ARI_DEN,15,ARI,DEN,2.0,run,0,under_center,under_center_run,0.0,-0.7307506288634613,0.0
sample_02,221,2022_09_SEA_ARI,9,SEA,ARI,2.0,run,0,under_center,under_center_run,0.0,-0.6868232896085829,0.0
sample_02,172,2022_02_IND_JAX,2,IND,JAX,2.0,run,0,under_center,under_center_run,0.0,-0.8931434955447912,0.0
sample_02,57,2022_18_TEN_JAX,18,TEN,JAX,1.0,run,0,under_center,under_center_run,-1.0,-1.002091797068715,0.0
sample_02,3179,2022_18_CAR_NO,18,NO,CAR,2.0,run,0,under_center,under_center_run,0.0,-0.5379129206412472,0.0
sample_02,2925,2022_07_PIT_MIA,7,PIT,MIA,3.0,run,0,under_center,under_center_run,0.0,-1.6101331189274788,0.0
sample_02,676,2022_09_PHI_HOU,9,PHI,HOU,1.0,run,1,shotgun,shotgun_run,-4.0,-1.0965185077511703,0.0
sample_02,2697,2022_18_TEN_JAX,18,TEN,JAX,2.0,run,1,shotgun,shotgun_run,-1.0,-0.699077295139432,0.0
sample_02,1803,2022_06_ARI_SEA,6,SEA,ARI,1.0,pass,1,shotgun,shotgun_pass,22.0,0.9545460435329004,1.0
sample_02,2152,2022_05_CHI_MIN,5,CHI,MIN,2.0,pass,1,shotgun,shotgun_pass,18.0,1.6963415029458702,1.0
sample_02,3223,2022_13_MIA_SF,13,MIA,SF,1.0,pass,1,shotgun,shotgun_pass,45.0,3.8647272544912994,1.0
sample_02,85,2022_06_JAX_IND,6,IND,JAX,2.0,pass,1,shotgun,shotgun_pass,20.0,2.0403453684411943,1.0
sample_02,893,2022_17_NYJ_SEA,17,SEA,NYJ,1.0,pass,1,shotgun,shotgun_pass,41.0,2.693303015548736,1.0
sample_02,1961,2022_02_MIN_PHI,2,PHI,MIN,3.0,pass,1,shotgun,shotgun_pass,16.0,0.541902614175342,1.0
sample_02,3293,2022_15_DET_NYJ,15,NYJ,DET,2.0,pass,1,shotgun,shotgun_pass,33.0,2.438306117837783,1.0
sample_02,3309,2022_16_LAC_IND,16,IND,LAC,2.0,pass,1,shotgun,shotgun_pass,19.0,1.3509112678584645,1.0
sample_02,2291,2022_08_NYG_SEA,8,NYG,SEA,2.0,pass,1,shotgun,shotgun_pass,16.0,1.66084339201916,1.0
sample_02,1094,2022_16_LAC_IND,16,LAC,IND,2.0,pass,1,shotgun,shotgun_pass,18.0,1.603814424131997,1.0
sample_02,844,2022_16_CIN_NE,16,CIN,NE,3.0,pass,1,shotgun,shotgun_pass,18.0,2.9007752512115985,1.0
sample_02,275,2022_13_TEN_PHI,13,PHI,TEN,2.0,pass,1,shotgun,shotgun_pass,34.0,3.668790938449092,1.0
sample_02,955,2022_07_SEA_LAC,7,LAC,SEA,2.0,pass,1,shotgun,shotgun_pass,23.0,1.8242882587946951,1.0
sample_02,1594,2022_12_LAC_ARI,12,LAC,ARI,2.0,pass,1,shotgun,shotgun_pass,33.0,3.637823424418457,1.0
sample_02,4115,2022_16_NYG_MIN,16,MIN,NYG,3.0,pass,1,shotgun,shotgun_pass,17.0,0.275034662685357,1.0
